ResourceType      Locations           Name                        Zones    Restrictions
----------------  ------------------  --------------------------  -------  ----------------------------------------------------------------------------------------------------------------------------------------------------------------------
disks             germanywestcentral  PremiumV2_LRS               1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  Premium_LRS                 1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  StandardSSD_LRS             1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  Standard_LRS                1,2,3    None
disks             germanywestcentral  UltraSSD_LRS                1,2      None
hostGroups/hosts  GermanyWestCentral  DADSv5-Type1                1,2,3    None
hostGroups/hosts  GermanyWestCentral  DASv4-Type2                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  DASv5-Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  Dasv6_Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  DCadsv5-Type1               1,2      None
hostGroups/hosts  GermanyWestCentral  DCasv5-Type1                1,2      None
hostGroups/hosts  GermanyWestCentral  DCdsv3-Type1                2        None
hostGroups/hosts  GermanyWestCentral  DCsv3-Type1                 2        None
hostGroups/hosts  GermanyWestCentral  DDSv4-Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  DDSv4-Type2                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  DDSv5-Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  DSv3-Type1                  2        ['NotAvailableForSubscription, type: Location, locations: GermanyWestCentral', 'NotAvailableForSubscription, type: Zone, locations: GermanyWestCentral, zones: 1,2,3']
hostGroups/hosts  GermanyWestCentral  DSv3-Type2                  1,2,3    ['NotAvailableForSubscription, type: Location, locations: GermanyWestCentral', 'NotAvailableForSubscription, type: Zone, locations: GermanyWestCentral, zones: 1,2,3']
hostGroups/hosts  GermanyWestCentral  DSv3-Type3                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  DSv3-Type4                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  DSv4-Type1                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  DSv4-Type2                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  DSv5-Type1                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  EADSv5-Type1                1,2,3    None
hostGroups/hosts  GermanyWestCentral  EASv4-Type2                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  EASv5-Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  Easv6_Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  Ebdsv5-Type1                1,2,3    None
hostGroups/hosts  GermanyWestCentral  Ebsv5-Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  ECadsv5-Type1               1,2      None
hostGroups/hosts  GermanyWestCentral  ECasv5-Type1                1,2      None
hostGroups/hosts  GermanyWestCentral  EDSv4-Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  EDSv4-Type2                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  EDSv5-Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  ESv3-Type1                  2        ['NotAvailableForSubscription, type: Location, locations: GermanyWestCentral', 'NotAvailableForSubscription, type: Zone, locations: GermanyWestCentral, zones: 1,2,3']
hostGroups/hosts  GermanyWestCentral  ESv3-Type2                  1,2,3    ['NotAvailableForSubscription, type: Location, locations: GermanyWestCentral', 'NotAvailableForSubscription, type: Zone, locations: GermanyWestCentral, zones: 1,2,3']
hostGroups/hosts  GermanyWestCentral  ESv3-Type3                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  ESv3-Type4                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  ESv4-Type1                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  ESv4-Type2                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  ESv5-Type1                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  FSv2-Type2                  2        None
hostGroups/hosts  GermanyWestCentral  FSv2-Type3                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  FSv2-Type4                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  FXmds-Type1                 2        None
hostGroups/hosts  GermanyWestCentral  Lasv3-Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  LSv2-Type1                  1,2      None
hostGroups/hosts  GermanyWestCentral  Lsv3-Type1                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  Mdmsv2MedMem-Type1          1,2,3    None
hostGroups/hosts  GermanyWestCentral  Mdsv2MedMem-Type1           1,2      None
hostGroups/hosts  GermanyWestCentral  Mmsv2MedMem-Type1           1,2,3    None
hostGroups/hosts  GermanyWestCentral  MS-Type1                    1,2      None
hostGroups/hosts  GermanyWestCentral  MSm-Type1                   1,2,3    None
hostGroups/hosts  GermanyWestCentral  MSmv2-Type1                 1,2,3    None
hostGroups/hosts  GermanyWestCentral  MSv2-Type1                  1,2,3    None
hostGroups/hosts  GermanyWestCentral  Msv2MedMem-Type1            1,2      None
hostGroups/hosts  GermanyWestCentral  NVadsA10v5_Type1            1,2,3    None
hostGroups/hosts  GermanyWestCentral  NVASv4-Type1                1,3      None
virtualMachines   GermanyWestCentral  Standard_A1_v2              1,2,3    ['NotAvailableForSubscription, type: Location, locations: GermanyWestCentral', 'NotAvailableForSubscription, type: Zone, locations: GermanyWestCentral, zones: 1,2,3']
virtualMachines   GermanyWestCentral  Standard_A2m_v2             1,2,3    ['NotAvailableForSubscription, type: Location, locations: GermanyWestCentral', 'NotAvailableForSubscription, type: Zone, locations: GermanyWestCentral, zones: 1,2,3']
virtualMachines   GermanyWestCentral  Standard_A2_v2              1,2,3    ['NotAvailableForSubscription, type: Location, locations: GermanyWestCentral', 'NotAvailableForSubscription, type: Zone, locations: GermanyWestCentral, zones: 1,2,3']
